Date,MtoM P&L,Gross P&L,Receipt Value,Comm,Exc Fee,FX Description,FX Rate,FX Value,Receipt Value Cum Sum,FX Value Cum Sum,Settlement Cum Sum,Total,Total Cum Sum
15/04/2021,-22999.999284744263,-500.0001406673253,-23544.469425411593,17.85,26.62,-,-,0.0,8781.038172334338,73706.15291000003,106031.66050774585,-23544.469425411593,82487.19108233428
16/04/2021,6415.001153945923,349.99999999998187,6761.896153945904,0.6749999999999999,2.43,-,-,0.0,15542.934326280243,73706.15291000003,82487.19108233426,6761.896153945904,89249.08723628017
19/04/2021,-11688.753452301013,0.0,-11688.753452301013,0.0,0.0,-,-,0.0,3854.1808739792305,73706.15291000003,89249.08723628016,-11688.753452301013,77560.33378397916
20/04/2021,-15744.996004104623,-984.9997162818917,-16738.765720386516,3.4,5.37,-,-,0.0,-12884.584846407286,73706.15291000003,77560.33378397915,-16738.765720386516,60821.56806359265
21/04/2021,14733.747377395632,0.0,14733.747377395632,0.0,0.0,-,-,0.0,1849.1625309883457,73706.15291000003,60821.56806359263,14733.747377395632,75555.31544098828
22/04/2021,-15714.99626874921,562.5,-15183.99626874921,12.75,18.75,-,-,0.0,-13334.833737760864,73706.15291000003,75555.31544098827,-15183.99626874921,60371.31917223908
23/04/2021,6718.745172023801,2475.0,9174.8451720238,7.649999999999999,11.25,-,-,0.0,-4159.988565737063,73706.15291000003,60371.31917223906,9174.8451720238,69546.16434426288
26/04/2021,4160.004744529627,-3718.75,415.049744529627,10.025,16.18,-,-,0.0,-3744.9388212074364,73706.15291000003,69546.16434426286,415.049744529627,69961.2140887925
27/04/2021,149.99508857731217,-1750.0,-1648.3049114226876,19.55,28.75,-,-,0.0,-5393.243732630124,73706.15291000003,69961.21408879248,-1648.3049114226876,68312.90917736982
28/04/2021,-2687.4956727027757,-2212.5,-4939.895672702775,16.15,23.75,-,-,0.0,-10333.139405332899,73706.15291000003,68312.90917736979,-4939.895672702775,63373.01350466704
